text,label,label_name
مرقوف,2,نجديه
دزنتوانه,2,نجديه
صالة,0,حجازية
مخامير,2,نجديه
إذا جيت رايح كتر من الفضايح,0,حجازية
أشوى,2,نجديه
حمبص,0,حجازية
بوري,3,حساوية
حبقبق,0,حجازية
اديلو,0,حجازية
الريال,3,حساوية
صلبي,2,نجديه
طلي,0,حجازية
ما بيشخ عإصبع مجروح,0,حجازية
هقوتك,2,نجديه
درزن,0,حجازية
به,2,نجديه
سامج,2,نجديه
المعاميل,1,جنوبي
يهدرق,3,حساوية
كوده,2,نجديه
مردغة,2,نجديه
كفكير,1,جنوبي
هلا,2,نجديه
نمورة,1,جنوبي
بسكليت,0,حجازية
فطفوط,2,نجديه
افركيه,2,نجديه
يفرِّي,1,جنوبي
شلخه,3,حساوية
تختة,3,حساوية
أحوقه,2,نجديه
طاوي,1,جنوبي
يا قلبي يا كتكت ياما تشوف و تسكت,0,حجازية
واكدربة كدربة بياع الشوربة,0,حجازية
يالفضيخة,3,حساوية
مزجور,3,حساوية
زوزا,0,حجازية
ينقز,3,حساوية
سرفه,2,نجديه
الحموضات,0,حجازية
صاروخ,0,حجازية
عيديه,0,حجازية
جمل ابو راسين,0,حجازية
شالوع,3,حساوية
دنق,1,جنوبي
حبش,0,حجازية
مرقوق,1,جنوبي
غبانة,0,حجازية
جندوب,3,حساوية
مفنقص,0,حجازية
مسخنة,3,حساوية
يا كلب,0,حجازية
شيثة,1,جنوبي
سرح,2,نجديه
أزرد,0,حجازية
شمخ,3,حساوية
صرم,0,حجازية
شاكوشة,0,حجازية
متحنجة,3,حساوية
زرم,0,حجازية
لبق,2,نجديه
دودو,0,حجازية
خلنا,3,حساوية
عايرة,2,نجديه
دبشة,2,نجديه
حكشة,0,حجازية
ذود,2,نجديه
هنودي,0,حجازية
قيس,1,جنوبي
اجدع,2,نجديه
اقبع,3,حساوية
فلتة,0,حجازية
ثرمه,3,حساوية
قص,1,جنوبي
نبوا,3,حساوية
يشوخ,0,حجازية
مكعس,1,جنوبي
شره,2,نجديه
سربوت,0,حجازية
أنتسعم,2,نجديه
اوجف,3,حساوية
الطبينه غبينه,2,نجديه
العقلة,1,جنوبي
حس,3,حساوية
تمنظري,3,حساوية
روزنه,3,حساوية
ازم لي واقطع لك,1,جنوبي
افقع,0,حجازية
ضاري,2,نجديه
حرصة,2,نجديه
فنغش,3,حساوية
كصمه,2,نجديه
طعن,0,حجازية
اداب,1,جنوبي
جغافير,2,نجديه
بعد ما أكل واتكا قال ريحته مستكا,0,حجازية
سامري,0,حجازية
فاهي,2,نجديه
كش,1,جنوبي
الزرب,1,جنوبي
دق,2,نجديه
موت يا حمار,0,حجازية
شق الشعيب,2,نجديه
